
18051,,2,
47,33,164,
1,8,,
22825,9,110,
89,7,226,
5406,,36,
,21,,
1500,18,373,
,,24,
,2,10,
2,6,28,
,,2,
18,31,157,
3,114,,
,383,,
15,211,,
4,30,,
25266,1,287,1
16,4130,,
87,,,
211,5010,,
,4,38,
60,7,90,
655,1,11,
275,4,2,
77,2802,,
,95,,
11245,26,182,1
,3,,
3,11,123,
17,4,253,
1,32,,
49,3,36,
2,8,33,
3068,1,11,
129,14,411,
2,315,,
2,13,50,
14,61,1,
2,21,,
,32,,
5748,,19,1
8,81,,
2199,54,476,
,,3,
,141,,
,,45,
231,14,134,
,34,,
50,506,,
3117,12,171,
3192,2,156,
4907,1,239,
1,34,,
,,33,
3146,6,103,
13,615,,
83,1800,4,
161,408,,
20,115,,
1648,88,2189,
1,38,,
7,68,,
56,1,1353,
58,9,25,
,2,17,
6,134,880,
5,,176,
6107,1,,
2,55,,
,12,,
1950,1,12,
463,6,464,
,,30,
12,2,115,
12571,12,615,
5,,6,
2,59,,
23214,26,270,1
118169,4,178,1
1,1,,
102,896,,
15416,,54,
,3,,
1,45,,
1,10,,
165,405,2754,
,,14,
7,,20,
2,,106,
15214,8,44,
