follower_count,following_columns_count,following_count,mutual_followees_count
7,30,335,
64,6683,2,
,,17,
24,49,1472,
1,10,,
2428,,42,
53,188,,
1263,2,274,
18,9,647,
3,,38,
,3,24,
42,1554,,
,,1,
9,27,,
2,2,213,
145,,,
101,7,246,
3,904,,
5,329,,
4,3,25,
10926,,,
109,1299,,
32,1025,,
3,46,,
19,5000,,
2,,19,
8,11,156,
286,2964,3,
,5,,
9,178,,
,,1,
,56,,
,,23,
15,9,501,
44,72,1731,
13320,1,57,
7,109,,
26,1596,,
12,,374,
4,4,30,
,342,,
6,5,31,
3,5,40,
,10,,
8002,10,265,
8,,21,
249,8,144,
15965,156,1188,
17,223,,
26,25,192,
616,9,739,
94,8,85,
92,5,561,
,842,,
8,224,,
4,6,441,
18,243,,
,62,,
409,55,223,
5,13,,
3,103,,
9,13,67,
1,25,,
759,2,8,
5,6,222,
1,,15,
,,159,
1,196,,
120,13,38,
12,6,163,
46,42,970,
77847,17,106,1
19,7,550,
11,210,,
7,10,545,
2,66,,
16,23,774,
28,1,18,
192,3,3715,
56430,6,31,
1,1936,,
2,2,48,
2,1,9,
1,368,,
101,,128,
1,147,,
3325,39,352,
35,,627,
8,,73,
66720,7,16774,1
12,91,,
29,295,1284,
4413,24,42,
4,23,109,
261,1285,,
114,254,,
1,423,,
1,1,24,
3,,32,
